name,addr,addr1,id,upjong,food,dong,number
반값소,서울특별시 도봉구 마들로 664-5 101102호 ,서울특별시 도봉구 도봉동  636번지 15호  101102호,3090000-101-2012-00025,식육(숯불구이),식육구이,도봉제2동,02  34931297
더맛있는족발보쌈(방학점),서울특별시 도봉구 도당로 120 1층 ,서울특별시 도봉구 방학동  701번지 24호  ,3090000-101-2000-05108,한식,돼지족발,방학제1동,02  955 5604
설담재 설렁탕,서울특별시 도봉구 도봉로 562 지상1층 ,서울특별시 도봉구 창동  715번지 32호  지상1층,3090000-101-1995-00036,한식,설렁탕,창제5동,02998 0202
곤지암할매소머리국밥,서울특별시 도봉구 시루봉로 135 1층,서울특별시 도봉구 방학동  444번지 37호  1층,3090000-101-2005-00296,한식,돼지갈비,방학제3동,02  34926677
이차돌(쌍문점),서울특별시 도봉구 해등로 157 ,서울특별시 도봉구 쌍문동  651번지  (1층),3090000-101-2003-00061,식육(숯불구이),,쌍문제2동,02 9078885
신의주찹쌀순대도봉구청점,서울특별시 도봉구 마들로 664-5 104105호 ,서울특별시 도봉구 도봉동  636번지 15호  ,3090000-101-2021-00051,한식,,도봉제2동,
태림산채정식,서울특별시 도봉구 노해로60길 32 ,서울특별시 도봉구 쌍문동  141번지 3호  ,3090000-101-1994-00390,한식,산채정식,쌍문제3동,02  998 5468
도봉산 갈비,서울특별시 도봉구 도봉로 919 ,서울특별시 도봉구 도봉동  559번지 27호  지상1층일부 2층 3층전체,3090000-101-1989-03219,식육(숯불구이),돼지갈비,도봉제1동,02 9558668
원조의정부부대찌게,서울특별시 도봉구 해등로 156 ,서울특별시 도봉구 쌍문동  631번지 1호  ,3090000-101-1998-00928,한식,부대찌게,쌍문제2동,02 9994466
왕골감자탕,서울특별시 도봉구 노해로69길 15 101102103104호,서울특별시 도봉구 창동  10번지 3호  세정빌딩 101102103104호,3090000-101-2005-00269,식육(숯불구이),감자탕,창제4동,02 9081909
한스친친,서울특별시 도봉구 노해로 341 신원리베르텔 2층 202203204호 ,서울특별시 도봉구 창동  338번지  신원리베르텔-202~4,3090000-101-2019-00136,중국식,,창제5동,02  990 4143
황금정원,서울특별시 도봉구 방학로 312,서울특별시 도봉구 방학동  598번지 1호  ,3090000-101-2010-00114,한식,,방학제3동,02 9548881
Tokyo(도쿄)감자탕,서울특별시 도봉구 마들로 650 ,서울특별시 도봉구 방학동  720번지 33호  도봉월드 210호,3090000-101-2003-00280,한식,감자탕,방학제1동,262299797
대문한정식,서울특별시 도봉구 시루봉로 139-6 지상1층 ,서울특별시 도봉구 방학동  436번지 9호  지상1층,3090000-101-1988-02251,한식,송어회,방학제3동,02 9560843
양주큰집전통순대국,서울특별시 도봉구 방학로6길 32 ,서울특별시 도봉구 방학동  697번지 1호  ,3090000-101-1995-04059,한식,순대국,방학제1동,234931110
송림각,서울특별시 도봉구 방학로 223,서울특별시 도봉구 방학동  271번지 2호  신동아상가,3090000-101-1989-01650,중국식,탕수육,방학제3동,234913334
하루방 유황오리,서울특별시 도봉구 노해로63나길 8 ,서울특별시 도봉구 창동  261번지 6호  ,3090000-101-1995-03766,한식,오리,창제5동,02 9915292
토영자갈치곰장어,서울특별시 도봉구 노해로69길 15 ,서울특별시 도봉구 창동  10번지 3호  세정빌딩 107108109호(지상1층),3090000-101-1991-03662,한식,소고기국밥,창제4동,02 9992588
남원추어탕,서울특별시 도봉구 노해로67길 10 1층 103호 ,서울특별시 도봉구 창동  8번지 1호  ,3090000-101-1996-01687,한식,추어탕,창제4동,02 9082274
뚱보냉면,서울특별시 도봉구 도봉로110길 51 지상23층 ,서울특별시 도봉구 창동  651번지 51호  지상23층,3090000-101-1992-04540,한식,냉면,창제1동,02 9908063
강북민물장어,서울특별시 도봉구 노해로69길 25 1층 ,서울특별시 도봉구 창동  13번지 3호  ,3090000-101-1996-03671,한식,장어정식,창제4동,02 9062921
통나무식당,서울특별시 도봉구 노해로60길 99 ,서울특별시 도봉구 쌍문동  96번지 9호  ,3090000-101-1992-00528,한식,양념갈비,쌍문제3동,02 9006644
청어진 동태찜,서울특별시 도봉구 도봉로150길 28 ,서울특별시 도봉구 방학동  715번지  지상1층,3090000-101-2005-00298,한식,동태찜,방학제1동,02 9551554
양촌리,서울특별시 도봉구 방학로 102 ,서울특별시 도봉구 방학동  680번지 25호  ,3090000-101-1999-04610,식육(숯불구이),소갈비,방학제1동,02 9547852
황해도찹쌀순대,서울특별시 도봉구 마들로 659 ,서울특별시 도봉구 방학동  719번지 14호  (지상1층),3090000-101-2006-00181,한식,곰탕,방학제1동,02  9548081
그 고기집,서울특별시 도봉구 삼양로146길 6 1층 ,서울특별시 도봉구 쌍문동  423번지 14호  ,3090000-101-2001-05561,식육(숯불구이),생고기,쌍문제1동,02 9928479
쌈촌창동역점,서울특별시 도봉구 노해로65길 11 2층 234호 ,서울특별시 도봉구 창동  333번지 2호  한성빌딩 2층-234,3090000-101-2012-00055,한식,샤브샤브,창제5동,02 9004929
탐나종합어시장 방학역점,서울특별시 도봉구 도봉로 704 1층 ,서울특별시 도봉구 방학동  705번지 20호  1층,3090000-101-2003-00198,일식,,방학제1동,02 9541006
경복궁창동점(주)엔타스,서울특별시 도봉구 도봉로 610 ,서울특별시 도봉구 창동  750번지  34층,3090000-101-2011-00146,한식,점심한상,창제5동,02 9926777
갑식이네착한낙지,서울특별시 도봉구 도봉로150길 43 ,서울특별시 도봉구 방학동  716번지 5호  ESA단지 상가 136.137.138호,3090000-101-2003-00329,한식,,방학제1동,02  33925572
순두부마을,서울특별시 도봉구 마들로 650 ,서울특별시 도봉구 방학동  720번지 33호  도봉월드 206호,3090000-101-2007-00195,한식,,방학제1동,02  956 7887
황금성,서울특별시 도봉구 삼양로 544 2층 ,서울특별시 도봉구 쌍문동  423번지 17호  (2층)(쌍문1동),3090000-101-1997-02771,중국식,,쌍문제1동,02 9963030
장어가,서울특별시 도봉구 도봉로 911 ,서울특별시 도봉구 도봉동  560번지 14호  ,3090000-101-2010-00081,한식,,도봉제1동,02 9561171
창원,서울특별시 도봉구 도봉로180길 6 지상1층 ,서울특별시 도봉구 도봉동  62번지 4호  태봉운동시설2동 지상1층,3090000-101-2015-00034,한식,식육취급(소고기),도봉제2동,02  34927892
문성해물짬뽕,서울특별시 도봉구 우이천로 294 A동 ,서울특별시 도봉구 쌍문동  103번지 153호 A ,3090000-101-2000-05333,중국식,,쌍문제3동,02905 8999
메이다이닝,서울특별시 도봉구 도봉로169길 202 1층 ,서울특별시 도봉구 도봉동  470번지 3호  1층,3090000-101-2012-00045,경양식,코스요리,도봉제1동,02 9557722
봉평메밀막국수,서울특별시 도봉구 도봉산4길 15 1층 ,서울특별시 도봉구 도봉동  282번지 309호  1층,3090000-101-2012-00101,한식,막국수,도봉제1동,02 9562080
뚱가 부대찌개,서울특별시 도봉구 도봉로 869 ,서울특별시 도봉구 도봉동  563번지 7호  ,3090000-101-1998-03122,한식,부대찌개,도봉제1동,234928822
은행골,서울특별시 도봉구 마들로 684 (도봉동 안세빌딩 101102호,서울특별시 도봉구 도봉동  635번지  안세빌딩 101102호,3090000-101-2009-00020,한식,모듬초밥,도봉제2동,02 9554988
주식회사 반값소 푸드컴퍼니,서울특별시 도봉구 방학로 173 2층 201호 ,서울특별시 도봉구 방학동  669번지 3호  2층-201,3090000-101-2016-00134,식육(숯불구이),소고기,방학제3동,02  955 1297
콩사랑두부,서울특별시 도봉구 도봉산4길 10 ,서울특별시 도봉구 도봉동  281번지 10호  ,3090000-101-2011-00160,한식,순두부찌개,도봉제1동,02 9556016
삿뽀로 창동점 (주)엔타스,서울특별시 도봉구 도봉로 610 2층 ,서울특별시 도봉구 창동  750번지  ,3090000-101-2011-00145,일식,우동정식,창제5동,02 9916777
최진사댁무한숯불갈비 도봉점,서울특별시 도봉구 도봉로181길 29 1층 ,서울특별시 도봉구 도봉동  566번지  1층,3090000-101-2017-00125,식육(숯불구이),회,도봉제1동,02  955 0366
힘찬장어,서울특별시 도봉구 노해로69길 15-9 ,서울특별시 도봉구 창동  10번지 2호  (지상1층),3090000-101-2007-00169,한식,민물장어,창제4동,02  900 0929
